"","deploymentID","locationID","locationName","latitude","longitude","coordinateUncertainty","deploymentStart","deploymentEnd","setupBy","cameraID","cameraModel","cameraDelay","cameraHeight","cameraDepth","cameraTilt","cameraHeading","detectionDistance","timestampIssues","baitUse","featureType","habitat","deploymentGroups","deploymentTags","deploymentComments","days"
"165","d6e3f392-5978-4435-b882-db80de09d2f8","54a8b24d-2835-4d99-9f43-90857e673677","SK17",53.0608993206,5.8762460404,NA,2023-04-25 11:33:55,2023-04-28 11:50:16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",3.01135416666667
"166","d75986e2-8baf-484a-8766-524f75562be8","54a8b24d-2835-4d99-9f43-90857e673677","SK17",53.0608993206,5.8762460404,NA,2023-06-06 01:51:34,2023-06-06 14:59:01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.546840277777778
"167","da94400f-c33c-46d2-ac68-7962a6f75d66","5ddd7685-5a4f-4d14-afe7-c9cc016d8c75","SK06",53.0668117152,5.8670454133,NA,2023-03-26 07:20:56,2023-04-25 05:18:54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",29.9152546296296
"168","dc215740-b56e-4a6b-b4b9-ebdf034f87a6","37bec7be-273f-4606-bd41-ff5696a9ed34","SK14",53.065628152,5.8712071571,NA,2023-05-22 17:00:00,2023-06-07 14:24:58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",15.892337962963
"169","dc5ba30d-97bf-494e-9283-279ce676c0c6","dcbc885c-431d-4629-abbb-3966438f7f64","SK30",53.0576154728,5.8685330976,NA,2023-04-06 15:00:00,2023-04-29 06:05:48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",22.6290277777778
"170","dc73970d-50c1-4fbd-8762-e64a5fa03284","f2d8bbca-8bf3-4194-bd50-b935744c8b57","SK19",53.064099671,5.8749396983,NA,2023-05-22 14:36:57,2023-05-28 14:14:28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",5.98438657407407
"171","dd707011-6243-4251-b06b-b8455edaf369","2f0a36b9-746c-4e44-b1bc-e6f7353630ea","SK24",53.0559152384,5.8701167222,NA,2023-05-22 17:46:09,2023-05-31 20:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",9.09295138888889
"172","dfe3e8b7-b491-4e40-8c21-4b68c2b6a06d","54a8b24d-2835-4d99-9f43-90857e673677","SK17",53.0608993206,5.8762460404,NA,2023-05-23 14:06:24,2023-06-05 10:23:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",12.8455439814815
"173","e01edb28-6eef-4ce6-bcf8-14d945db3afe","f2d8bbca-8bf3-4194-bd50-b935744c8b57","SK19",53.064099671,5.8749396983,NA,2023-05-22 14:08:33,2023-05-22 14:36:32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.0194328703703704
"174","e1f3186d-91a8-4232-a3d1-8b8993bc1fe0","0bbd89df-8437-4029-8d21-7de4ac8de442","SK16",53.0623632742,5.8773121455,NA,2023-05-23 14:12:06,2023-06-07 14:43:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Is dit wel SK16? Klopt niet qua data en andere foto.",15.0215972222222
"175","e39f7e54-4cb1-4a13-8644-5bea91d220c9","5982061a-e49d-4f45-ab28-d04f7c080f1d","SK25",53.054767419,5.8616518553,NA,2023-05-22 18:44:31,2023-06-05 08:51:31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",13.5881944444444
"176","e4e4df1f-3d64-4262-a946-7cbdf8f65e81","d3b636b4-a64d-4625-99d1-8a0304ed7814","SK09",53.0621554297,5.8658282814,NA,2023-04-30 06:28:59,2023-05-26 05:11:50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",25.9464236111111
"177","e6120cee-8882-41c4-85cc-19b1b4c527a8","1ca768db-c6df-4e50-9bfe-4a3e5f69df88","SK29",53.0535772299,5.865877064,NA,2023-04-25 06:00:00,2023-05-22 04:52:35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",26.9531828703704
"178","e6b2d377-c0e3-4cc4-8217-330498f6400d","35434171-5370-4bdc-8cba-092e3fc36fdc","SK18",53.0633547582,5.8794717252,NA,2023-05-19 13:26:08,2023-05-20 11:12:51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",0.90744212962963
