deploymentID,locationID,locationName,latitude,longitude,coordinateUncertainty,deploymentStart,deploymentEnd,setupBy,cameraID,cameraModel,cameraDelay,cameraHeight,cameraDepth,cameraTilt,cameraHeading,detectionDistance,timestampIssues,baitUse,featureType,habitat,deploymentGroups,deploymentTags,deploymentComments
003c9299-5d3c-483d-b403-8986e0d1410a,c284d9ab-d6bb-4014-85d7-d27e2f6ffabd,CG_23SK05,53.0576192866,5.8614913769,,2023-05-02T11:00:00+02:00,2023-05-13T20:57:29+02:00,,,,,,,,,,,,,,,,
0294e934-888e-4b0e-8605-81a3abf4b77f,,,,,,,,,,,,,,,,,,,,,,,
033c6f2f-58dd-4626-bdc2-c7ff32296148,f7c7435e-3dbc-4c42-ad42-0dafb219418e,SK03,53.0599489211,5.863008639,,2023-05-13T14:31:03+02:00,2023-05-29T07:38:31+02:00,,,,,,,,,,,,,,,,
03b0165d-4931-4ff9-bbbb-0e8b628bd68c,,,,,,,,,,,,,,,,,,,,,,,
04898505-ffb6-40b7-b625-9e630bb58761,,,,,,,,,,,,,,,,,,,,,,,
06455072-5f1c-4f63-9827-9f202136f325,d3b636b4-a64d-4625-99d1-8a0304ed7814,SK09,53.0621554297,5.8658282814,,2023-03-26T10:50:33+02:00,2023-04-25T19:53:26+02:00,,,,,,,,,,,,,,,,
08f1eae6-97df-4e11-af6d-94054d6fe09c,2f0a36b9-746c-4e44-b1bc-e6f7353630ea,CG_23SK24,53.0559152384,5.8701167222,,2023-03-26T13:56:59+02:00,2023-04-17T12:10:35+02:00,,,,,,,,,,,,,,,,
0954cf89-af8f-46cb-bc37-4419e0907218,ba1405c0-0512-4de7-ab4e-b01015519aa0,CG_23SK20,53.0629262272,5.8812075043,,2023-05-22T18:59:29+02:00,2023-05-23T16:00:18+02:00,,,,,,,,,,,,,,,,
097036db-6d8b-4b09-b240-c7d965ade8c4,b18237ea-1ede-41af-985f-10750305172f,CG_23SK01,53.0602088711,5.8608618231,,2023-05-20T21:09:52+02:00,2023-05-24T18:41:55+02:00,,,,,,,,,,,,,,,,
097d1ca8-4d84-491c-8dce-dd678cb58d23,5ddd7685-5a4f-4d14-afe7-c9cc016d8c75,SK06,53.0668117152,5.8670454133,,2023-05-22T15:54:47+02:00,2023-05-30T08:42:47+02:00,,,,,,,,,,,,,,,,
09b362ee-fe7d-4dac-975f-94516e5ef98f,b4f615ea-6843-46ba-8863-732585dc3b26,SK04,53.0598376908,5.8668709353,,2023-05-26T07:38:44+02:00,2023-06-03T16:41:45+02:00,,,,,,,,,,,,,,,,
