locationName;id;start_downtime;end_downtime
SK01;1;3-6-2023;7-6-2023
SK02;2;8-5-2023;25-5-2023
SK02;3;5-6-2023;7-6-2023
SK03;4;5-6-2023;7-6-2023
SK05;5;16-5-2023;25-5-2023
SK06;6;19-5-2023;22-5-2023
SK11;7;4-5-2023;21-5-2023
SK17;8;6-4-2023;24-4-2023
SK17;9;29-4-2023;18-5-2023
SK18;10;28-5-2023;7-6-2023
SK21;11;28-5-2023;7-6-2023
SK22;12;5-6-2023;7-6-2023
SK24;13;7-5-2023;22-5-2023
SK25;14;7-6-2023;7-6-2023
SK26;15;12-5-2023;22-5-2023
SK28;16;25-5-2023;7-6-2023
